id,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm)
831,26.9,6,5.9,273
832,27,6.1,6.5,201
833,27.5,6.2,6.3,245
834,28.3,7,6.5,75
835,29,7.3,6,74
836,28.2,7.1,7.9,108
837,NAN,7.1,7.7,111
838,27.4,7,8,129
839,27.3,7,8,130
840,28.5,5.7,7.4,2323
841,28.4,5.9,7.6,462
842,28.4,7,7.7,107
843,28.9,6.2,7.4,299
844,28.2,5.9,7.8,33259
845,28.9,7.2,7.9,77
846,27,3.2,7.4,28018
847,27.9,6.8,7.8,350
848,26.8,6.9,7.5,133
849,27.2,6.9,7.5,143
850,26.8,6.1,6.9,609
851,26.9,6.8,7.4,129
852,26.8,6.7,7.4,130
853,26.9,6.6,7.4,130
854,26.9,6.7,7.5,120
855,26.2,7.1,7.9,139
856,27.4,6,7.4,13925
857,26.4,6.7,7.7,274
858,26.7,6.3,7.9,326
859,27.3,6.3,7.9,7392
860,27.4,6.3,7.7,12051
861,27.6,7,8.3,162
862,27.5,7,8.3,212
863,27.5,7.1,8.3,227
864,26.9,6.8,8.2,314
865,25.9,6.8,7.8,151
866,25.9,7,7.8,123
867,26,6.9,7.8,139
868,26.9,6.8,8.2,313
869,24.8,6.7,7.8,215
870,26.2,6.7,7.8,204
871,25.3,6.9,7.7,205
872,26.6,7.1,6.9,72
873,26.8,6.6,6.9,70
874,26.6,6.9,7.1,52
875,26.8,7.2,7,830
876,29.3,6.3,6.9,95
877,25.4,7.2,7.4,164
878,25.5,6.9,7.5,231
879,26.6,6.5,6.9,101
880,24.7,7.1,7.1,64
881,24.8,7.1,7.1,4600
882,28,7.5,7.2,52
883,27.4,2,6.8,265
884,26,5.6,7,12769
885,27.4,7.1,7,90
886,26.5,6.1,7,248
887,28.4,6,7,94
888,28.8,6.5,7.5,76
889,26.7,1.5,6.6,192
890,26.4,2,6.8,79
891,26.5,7.2,7.1,52
892,25.5,4,7.5,25964
893,28,7.2,7.3,54
894,28,0.8,7.1,1239
895,27.9,6.4,6.5,58
896,28.1,6.3,6.8,77
897,28.6,5.4,6.6,80
898,25.3,5.8,7.8,666
899,28.3,6.6,7.2,12768
900,26.1,7.7,7.2,44
901,24.3,7.1,7,27
902,26,7.3,7.2,59
903,28.5,7.8,7.1,119
904,26.6,7.3,7.1,54
905,26.8,7,6.6,104
906,28,6,7.2,92
907,26.2,6.8,6.6,48
908,28.5,5.6,7.1,20455
909,26.5,7,7,56
910,29.3,6.7,6.9,2531
911,29.3,6.2,7.2,15362
912,27,7.3,7.2,62
913,27.3,7.6,7.2,59
914,27.9,6.4,6.8,83
915,27.8,7,6.6,50
916,27.8,6.7,6.8,76
917,28.3,6.7,6.6,64
918,27.5,5.6,6.9,943
919,26.3,7.4,7,38
920,27,6.7,6.9,43
921,27.4,7.1,7.3,48
922,27,6.2,6.8,309
923,27.4,5.2,6.8,61
924,27.3,6.8,6.9,995
925,27,6.8,6.9,52
